CCOMP96,CCOMP04,REG96A04,codcomp,personas
117219011,117219025,1,117219011,67
117219012,117219030,1,117219012,92
117219013,117219032,1,117219013,98
117225006,117225007,1,117225006,14
117228004,117228022,1,117228004,45
117228015,117228021,1,117228015,140
117228017,117228034,1,117228017,2
117228018,117228032,1,117228018,167
117228019,117228019,1,117228019,9
117228020,117228041,1,117228020,1
117229014,117229800,1,117229014,65
117229022,117229805,1,117229022,226
117229025,117229807,1,117229025,95
117229028,117229130,1,117229028,150
117230002,117230086,1,117230002,141
117230066,117230083,1,117230066,99
117230067,117230079,1,117230067,80
117230076,117230077,1,117230076,168
117233005,117233022,1,117233005,20
117233009,117233013,1,117233009,2
117233010,117233029,1,117233010,19
117241008,117241800,1,117241008,13
117241010,117241022,1,117241010,324
117319032,117319034,1,117319032,6
117319033,117319035,1,117319033,428
117330007,117330800,1,117330007,114
117341013,117341800,1,117341013,73
117341015,117341808,1,117341015,77
117341017,117341018,1,117341017,40
117430030,117430275,1,117430030,7
117430041,117430280,1,117430041,37
117430075,117430282,1,117430075,28
117430172,117430284,1,117430172,18
117430174,117430286,1,117430174,31
117430272,117430288,1,117430272,40
119003006,119003800,1,119003006,12
119114009,119114800,1,119114009,178
120005003,120005004,1,120005003,4
120011002,120011800,1,120011002,14
120011003,120011802,1,120011003,36
120012015,120012015,1,120012015,79
120019002,120019800,1,120019002,33
120020003,120020800,1,120020003,184
120020007,120020801,1,120020007,46
120023003,120023805,1,120023003,126
120023007,120023801,1,120023007,91
120023008,120023804,1,120023008,145
120024009,120024800,1,120024009,87
120027003,120027801,1,120027003,111
120028012,120028018,1,120028012,2
120033002,120033012,1,120033002,91
120035001,120035015,1,120035001,26
120035002,120035020,1,120035002,132
120035005,120035018,1,120035005,80
120036003,120036026,1,120036003,136
120036007,120036024,1,120036007,48
120036010,120036020,1,120036010,58
120036016,120036022,1,120036016,30
120037002,120037013,1,120037002,80
120037003,120037015,1,120037003,24
120039002,120039401,1,120039002,10
120040008,120040800,1,120040008,107
120044001,120044008,1,120044001,111
120044003,120044800,1,120044003,51
120044006,120044400,1,120044006,68
120046001,120046803,1,120046001,172
120046004,120046802,1,120046004,204
120046007,120046801,1,120046007,283
120046011,120046800,1,120046011,194
120047007,120047400,1,120047007,27
120049011,120049500,1,120049011,12
120130013,120130800,1,120130013,24
120131004,120131400,1,120131004,311
121003002,121003800,1,121003002,6
121005011,121005014,1,121005011,5
121005013,121005020,1,121005013,89
121016001,121016803,1,121016001,68
121016011,121016801,1,121016011,52
121026004,121026012,1,121026004,16
121027001,121027013,1,121027001,64
121027005,121027800,1,121027005,192
121035019,121035020,1,121035019,32
121035218,121035800,1,121035218,18
121038005,121038800,1,121038005,111
121045001,121045021,1,121045001,60
121045015,121045024,1,121045015,76
121047005,121047020,1,121047005,171
121047017,121047032,1,121047017,10
121048002,121048800,1,121048002,94
121104036,121104037,1,121104036,86
121108001,121108800,1,121108001,194
121108002,121108802,1,121108002,164
121122038,121122058,1,121122038,69
121122040,121122800,1,121122040,213
121122041,121122053,1,121122041,62
121122045,121122055,1,121122045,16
121122046,121122059,1,121122046,20
121122047,121122049,1,121122047,30
121128010,121128043,1,121128010,26
121128017,121128804,1,121128017,16
121128018,121128800,1,121128018,16
121128020,121128802,1,121128020,51
121128021,121128039,1,121128021,36
121128022,121128052,1,121128022,118
121128031,121128035,1,121128031,52
121128034,121128050,1,121128034,32
121129002,121129028,1,121129002,8
121129005,121129005,1,121129005,44
121129009,121129017,1,121129009,0
121129015,121129026,1,121129015,23
121130004,121130800,1,121130004,57
121144004,121144008,1,121144004,30
121146004,121146080,1,121146004,136
121146007,121146059,1,121146007,110
121146010,121146072,1,121146010,27
121146055,121146074,1,121146055,12
121206018,121206800,1,121206018,116
121222031,121222031,1,121222031,86
121222032,121222040,1,121222032,26
121222035,121222065,1,121222035,96
121222036,121222800,1,121222036,54
121228027,121228332,1,121228027,62
121228028,121228028,1,121228028,146
121228136,121228500,1,121228136,50
121229003,121229010,1,121229003,89
121229006,121229018,1,121229006,520
121229007,121229020,1,121229007,462
121229008,121229014,1,121229008,282
121229009,121229016,1,121229009,258
121246018,121246800,1,121246018,0
121246028,121246057,1,121246028,40
121246048,121246059,1,121246048,42
122008010,122008500,1,122008010,48
122010011,122010800,1,122010011,57
122021009,122021011,1,122021009,78
122021010,122021800,1,122021010,148
122024007,122024400,1,122024007,3
122024008,122024012,1,122024008,83
122029017,122029019,1,122029017,2
122101002,122101800,1,122101002,90
122101003,122101802,1,122101003,16
122103002,122103800,1,122103002,98
122104015,122104800,1,122104015,74
122119007,122119800,1,122119007,65
122123015,122123020,1,122123015,33
122123016,122123017,1,122123016,61
122203013,122203800,1,122203013,72
122204007,122204800,1,122204007,130
124106008,124106500,1,124106008,48
124119009,124119500,1,124119009,94
124125001,124125001,1,124125001,73
124218021,124218500,1,124218021,49
124218022,124218501,1,124218022,51
124218024,124218502,1,124218024,59
124218028,124218503,1,124218028,52
124218029,124218504,1,124218029,58
199002002,199002006,1,199002002,88
199002003,199002003,1,199002003,278
199002004,199002008,1,199002004,128
199002005,199002019,1,199002005,61
199003001,199003005,1,199003001,37
199004013,199004040,1,199004013,57
199004015,199004043,1,199004015,36
199004025,199004027,1,199004025,4
199005005,199005011,1,199005005,14
199006008,199006010,1,199006008,90
199010008,199010012,1,199010008,44
199010009,199010014,1,199010009,107
199010010,199010800,1,199010010,67
199024001,199024016,1,199024001,107
199024005,199024010,1,199024005,99
199026007,199026011,1,199026007,2
199027010,199027800,1,199027010,47
199046006,199046010,1,199046006,120
199046008,199046012,1,199046008,102
199047001,199047032,1,199047001,7
199047030,199047056,1,199047030,23
199047031,199047061,1,199047031,194
199048002,199048011,1,199048002,54
199048009,199048012,1,199048009,88
199056005,199056012,1,199056005,26
