loc_origen,loc_destino,personas_mig,pobl_origen,pobl_destino,cod,distancia_m
18829,17952,1,510,131,1882917952,339093
18990,17952,2,51,131,1899017952,457336
1020,17993,1,1304729,111,102017993,204040
16824,17993,7,6870,111,1682417993,176261
1020,18220,867,1304729,54755,102018220,379469
2220,18220,54,40657,54755,222018220,205252
2521,18220,13,12200,54755,252118220,299984
2621,18220,1,2531,54755,262118220,242326
3221,18220,27,71258,54755,322118220,366362
3320,18220,19,19865,54755,332018220,342899
3321,18220,1,20524,54755,332118220,369591
3322,18220,16,25947,54755,332218220,378912
3323,18220,6,16742,54755,332318220,342685
3421,18220,3,16244,54755,342118220,361143
3523,18220,1,9624,54755,352318220,391220
3524,18220,2,6570,54755,352418220,378645
3528,18220,1,5089,54755,352818220,345904
3621,18220,3,5562,54755,362118220,388191
3628,18220,4,1973,54755,362818220,343227
3631,18220,1,4397,54755,363118220,378440
3721,18220,1,1047,54755,372118220,350091
3723,18220,4,1305,54755,372318220,351656
3729,18220,4,8626,54755,372918220,391291
3730,18220,1,1489,54755,373018220,350468
3731,18220,2,90,54755,373118220,392402
3732,18220,9,18573,54755,373218220,392130
3733,18220,1,4307,54755,373318220,386986
3828,18220,11,21091,54755,382818220,392133
3830,18220,1,4724,54755,383018220,390250
3831,18220,4,8066,54755,383118220,392513
3993,18220,1,806,54755,399318220,386634
4220,18220,34,51830,54755,422018220,202004
4521,18220,2,3168,54755,452118220,179377
4522,18220,10,14604,54755,452218220,289812
4821,18220,1,1511,54755,482118220,204516
4949,18220,5,439,54755,494918220,309570
5320,18220,6,26231,54755,532018220,397480
5323,18220,2,12816,54755,532318220,375009
5421,18220,5,10630,54755,542118220,347589
5522,18220,4,6632,54755,552218220,368752
5621,18220,2,3235,54755,562118220,353876
5829,18220,4,60,54755,582918220,378006
5999,18220,1,56,54755,599918220,393585
6220,18220,14,34368,54755,622018220,205059
6421,18220,1,7176,54755,642118220,275567
6521,18220,1,2692,54755,652118220,236311
6622,18220,2,1443,54755,662218220,304586
6790,18220,1,1124,54755,679018220,277604
7320,18220,7,21429,54755,732018220,245456
7721,18220,1,918,54755,772118220,301762
7921,18220,1,261,54755,792118220,252569
8220,18220,15,33639,54755,822018220,292878
8421,18220,4,6130,54755,842118220,248322
8521,18220,4,2402,54755,852118220,360625
8622,18220,1,2398,54755,862218220,346220
