,cod,depto_origen,nom_depto_orig,depto_destino,nom_depto_des,personas_mig,pbi_origen,pob_origen,pbi_destino,pob_destino,dist,log_pbi_destino,log_dist
138,1409,14,ROCHA,9,LAVALLEJA,130,17547856,68088,15594153,58815,153094,16.562406594269497,11.938807390805975
139,1509,15,SALTO,9,LAVALLEJA,20,25542275,124861,15594153,58815,543146,16.562406594269497,13.205133439386653
140,1609,16,SAN JOSE,9,LAVALLEJA,44,26930981,108304,15594153,58815,175949,16.562406594269497,12.077949459300788
141,1709,17,SORIANO,9,LAVALLEJA,33,22993631,82594,15594153,58815,348485,16.562406594269497,12.761350466649512
142,1809,18,TACUAREMBO,9,LAVALLEJA,50,18093592,90051,15594153,58815,354205,16.562406594269497,12.7776311205497
143,1909,19,TREINTA Y TRES,9,LAVALLEJA,172,11720592,48134,15594153,58815,163101,16.562406594269497,12.002124919798158
144,110,1,MONTEVIDEO,10,MALDONADO,3914,465848031,1318755,51311595,164298,124217,17.753427307993373,11.72978531512129
145,210,2,ARTIGAS,10,MALDONADO,472,14214980,73377,51311595,164298,658957,17.753427307993373,13.398413560976383
146,310,3,CANELONES,10,MALDONADO,1345,86306492,520173,51311595,164298,113965,17.753427307993373,11.643646662693238
147,410,4,CERRO LARGO,10,MALDONADO,810,17048887,84698,51311595,164298,322413,17.753427307993373,12.683588611382323
148,510,5,COLONIA,10,MALDONADO,309,43788749,123203,51311595,164298,296898,17.753427307993373,12.601143924454322
149,610,6,DURAZNO,10,MALDONADO,198,13023942,57084,51311595,164298,260638,17.753427307993373,12.470887750387156
150,710,7,FLORES,10,MALDONADO,79,7284124,25050,51311595,164298,272199,17.753427307993373,12.514288695423467
151,810,8,FLORIDA,10,MALDONADO,310,17767290,67047,51311595,164298,166629,17.753427307993373,12.02352506319437
152,910,9,LAVALLEJA,10,MALDONADO,936,15594153,58815,51311595,164298,86435,17.753427307993373,11.367147965356887
153,1110,11,PAYSANDU,10,MALDONADO,420,26828524,113107,51311595,164298,457883,17.753427307993373,13.034368971945954
154,1210,12,RIO NEGRO,10,MALDONADO,223,24297744,54765,51311595,164298,424665,17.753427307993373,12.959055901791652
155,1310,13,RIVERA,10,MALDONADO,227,20212707,103473,51311595,164298,533780,17.753427307993373,13.18773904803446
156,1410,14,ROCHA,10,MALDONADO,952,17547856,68088,51311595,164298,141481,17.753427307993373,11.859920711431277
157,1510,15,SALTO,10,MALDONADO,484,25542275,124861,51311595,164298,574464,17.753427307993373,13.261192711122149
158,1610,16,SAN JOSE,10,MALDONADO,230,26930981,108304,51311595,164298,191164,17.753427307993373,12.160886977352854
159,1710,17,SORIANO,10,MALDONADO,335,22993631,82594,51311595,164298,366584,17.753427307993373,12.811982969136338
