cod_ori,latlon_ori,cod_des,latlon_des,cod,distancia
5320,"-34.45055037560706,-57.838919942012616",4220,"-32.366965911958815,-54.16797657500114",53204220,481102
5320,"-34.45055037560706,-57.838919942012616",6220,"-33.38250225260489,-56.5226838660229",53206220,191182
5320,"-34.45055037560706,-57.838919942012616",7320,"-33.5214825688165,-56.89958042575091",53207320,150399
5320,"-34.45055037560706,-57.838919942012616",8220,"-34.10300406870569,-56.22187817478847",53208220,180682
5320,"-34.45055037560706,-57.838919942012616",9220,"-34.37662152849474,-55.244018002185456",53209220,261828
5320,"-34.45055037560706,-57.838919942012616",10320,"-34.8972187652653,-54.94737237904476",532010320,300942
5320,"-34.45055037560706,-57.838919942012616",11120,"-32.318768140700776,-58.07902159500193",532011120,271098
5320,"-34.45055037560706,-57.838919942012616",12320,"-33.12672715408673,-58.29894536750416",532012320,183460
5320,"-34.45055037560706,-57.838919942012616",13220,"-30.91647986120184,-55.569795769247854",532013220,506555
5320,"-34.45055037560706,-57.838919942012616",14320,"-34.47922798203669,-54.326604990723666",532014320,372487
5320,"-34.45055037560706,-57.838919942012616",15120,"-31.39099520425074,-57.938559131114474",532015120,385556
5320,"-34.45055037560706,-57.838919942012616",16220,"-34.338333026427584,-56.71343246500763",532016220,110821
5320,"-34.45055037560706,-57.838919942012616",17220,"-33.255057139215,-58.03061475685623",532017220,152306
5320,"-34.45055037560706,-57.838919942012616",18220,"-31.71656576589131,-55.98227865899393",532018220,396435
5320,"-34.45055037560706,-57.838919942012616",19220,"-33.23222966487474,-54.38252254973986",532019220,410093
6220,"-33.38250225260489,-56.5226838660229",1020,"-34.83459368462574,-56.200727322283996",62201020,175468
6220,"-33.38250225260489,-56.5226838660229",2220,"-30.42583821419782,-56.48691836714405",62202220,400851
6220,"-33.38250225260489,-56.5226838660229",3320,"-34.5248820942228,-56.28134757794109",62203320,138767
6220,"-33.38250225260489,-56.5226838660229",4220,"-32.366965911958815,-54.16797657500114",62204220,290334
6220,"-33.38250225260489,-56.5226838660229",5320,"-34.45055037560706,-57.838919942012616",62205320,191182
6220,"-33.38250225260489,-56.5226838660229",7320,"-33.5214825688165,-56.89958042575091",62207320,40792
6220,"-33.38250225260489,-56.5226838660229",8220,"-34.10300406870569,-56.22187817478847",62208220,88592
6220,"-33.38250225260489,-56.5226838660229",9220,"-34.37662152849474,-55.244018002185456",62209220,197312
6220,"-33.38250225260489,-56.5226838660229",10320,"-34.8972187652653,-54.94737237904476",622010320,251450
6220,"-33.38250225260489,-56.5226838660229",11120,"-32.318768140700776,-58.07902159500193",622011120,222206
6220,"-33.38250225260489,-56.5226838660229",12320,"-33.12672715408673,-58.29894536750416",622012320,196477
6220,"-33.38250225260489,-56.5226838660229",13220,"-30.91647986120184,-55.569795769247854",622013220,315766
6220,"-33.38250225260489,-56.5226838660229",14320,"-34.47922798203669,-54.326604990723666",622014320,309612
6220,"-33.38250225260489,-56.5226838660229",15120,"-31.39099520425074,-57.938559131114474",622015120,317353
6220,"-33.38250225260489,-56.5226838660229",16220,"-34.338333026427584,-56.71343246500763",622016220,120041
6220,"-33.38250225260489,-56.5226838660229",17220,"-33.255057139215,-58.03061475685623",622017220,166254
6220,"-33.38250225260489,-56.5226838660229",18220,"-31.71656576589131,-55.98227865899393",622018220,205646
6220,"-33.38250225260489,-56.5226838660229",19220,"-33.23222966487474,-54.38252254973986",622019220,236656
7320,"-33.5214825688165,-56.89958042575091",1020,"-34.83459368462574,-56.200727322283996",73201020,177639
7320,"-33.5214825688165,-56.89958042575091",2220,"-30.42583821419782,-56.48691836714405",73202220,442029
7320,"-33.5214825688165,-56.89958042575091",3320,"-34.5248820942228,-56.28134757794109",73203320,140883
7320,"-33.5214825688165,-56.89958042575091",4220,"-32.366965911958815,-54.16797657500114",73204220,330712
7320,"-33.5214825688165,-56.89958042575091",5320,"-34.45055037560706,-57.838919942012616",73205320,150399
7320,"-33.5214825688165,-56.89958042575091",6220,"-33.38250225260489,-56.5226838660229",73206220,40792
7320,"-33.5214825688165,-56.89958042575091",8220,"-34.10300406870569,-56.22187817478847",73208220,110916
