depto_origen,depto_destino,cod,n,edad_promedio,edad_mediana,varones,mujeres,ind_masc
14,12,1412,30,41.5,42,15,15,100.0
14,13,1413,17,38.529411764705884,32,10,7,142.86
14,15,1415,29,28.20689655172414,23,9,20,45.0
14,16,1416,45,36.644444444444446,32,22,23,95.65
14,17,1417,18,33.5,30,9,9,100.0
14,18,1418,21,31.285714285714285,34,9,12,75.0
14,19,1419,162,32.91358024691358,30,79,83,95.18
15,1,1501,2481,27.889157597742845,23,1111,1370,81.09
15,2,1502,380,32.76052631578948,28,184,196,93.88
15,3,1503,543,31.09208103130755,28,259,284,91.2
15,4,1504,18,39.94444444444444,36,10,8,125.0
15,5,1505,134,26.925373134328357,24,79,55,143.64
15,6,1506,14,33.285714285714285,30,7,7,100.0
15,7,1507,20,30.55,31,9,11,81.82
15,8,1508,48,25.916666666666668,27,21,27,77.78
15,9,1509,20,23.2,23,6,14,42.86
15,10,1510,484,27.739669421487605,26,239,245,97.55
15,11,1511,564,27.590425531914892,24,271,293,92.49
15,12,1512,161,27.341614906832298,26,85,76,111.84
15,13,1513,97,31.896907216494846,29,46,51,90.2
15,14,1514,38,30.263157894736842,29,16,22,72.73
15,16,1516,99,31.393939393939394,27,48,51,94.12
15,17,1517,75,28.053333333333335,27,40,35,114.29
15,18,1518,166,32.524096385542165,29,90,76,118.42
15,19,1519,8,27.5,27,4,4,100.0
16,1,1601,1852,28.9622030237581,23,800,1052,76.05
16,2,1602,15,37.0,37,8,7,114.29
16,3,1603,689,33.476052249637156,29,342,347,98.56
16,4,1604,31,29.35483870967742,34,15,16,93.75
16,5,1605,452,29.911504424778762,27,226,226,100.0
16,6,1606,59,33.186440677966104,31,31,28,110.71
16,7,1607,122,29.959016393442624,27,72,50,144.0
16,8,1608,252,30.952380952380953,27,127,125,101.6
16,9,1609,44,34.77272727272727,31,22,22,100.0
16,10,1610,230,32.85217391304348,31,104,126,82.54
16,11,1611,59,29.915254237288135,28,34,25,136.0
16,12,1612,55,32.127272727272725,29,28,27,103.7
16,13,1613,32,32.34375,31,17,15,113.33
16,14,1614,47,29.97872340425532,29,21,26,80.77
16,15,1615,30,28.833333333333332,29,16,14,114.29
16,17,1617,112,29.964285714285715,29,67,45,148.89
16,18,1618,53,33.471698113207545,33,31,22,140.91
16,19,1619,23,30.608695652173914,30,13,10,130.0
17,1,1701,1922,27.01821019771072,22,845,1077,78.46
17,2,1702,9,37.44444444444444,32,4,5,80.0
17,3,1703,293,31.372013651877133,28,132,161,81.99
17,4,1704,12,27.5,33,4,8,50.0
17,5,1705,1053,31.590693257359924,27,509,544,93.57
17,6,1706,57,26.526315789473685,30,27,30,90.0
17,7,1707,90,29.755555555555556,25,49,41,119.51
17,8,1708,40,33.775,31,18,22,81.82
17,9,1709,33,32.333333333333336,33,17,16,106.25
17,10,1710,335,30.940298507462686,27,175,160,109.38
17,11,1711,181,28.933701657458563,22,92,89,103.37
17,12,1712,372,29.844086021505376,29,198,174,113.79
17,13,1713,18,30.055555555555557,30,11,7,157.14
17,14,1714,46,34.52173913043478,36,25,21,119.05
17,15,1715,98,27.520408163265305,21,49,49,100.0
17,16,1716,147,30.476190476190474,28,73,74,98.65
17,18,1718,41,27.609756097560975,29,26,15,173.33
17,19,1719,16,35.8125,35,7,9,77.78
18,1,1801,2611,26.9544235924933,22,1182,1429,82.72
18,2,1802,50,30.0,32,23,27,85.19
18,3,1803,596,31.788590604026847,27,315,281,112.1
18,4,1804,168,33.125,30,81,87,93.1
18,5,1805,79,30.21518987341772,29,37,42,88.1
18,6,1806,304,28.592105263157894,27,163,141,115.6
18,7,1807,79,30.531645569620252,30,49,30,163.33
18,8,1808,92,26.782608695652176,24,54,38,142.11
18,9,1809,50,28.24,24,28,22,127.27
18,10,1810,363,30.18732782369146,27,196,167,117.37
18,11,1811,261,28.804597701149426,23,141,120,117.5
18,12,1812,134,26.686567164179106,26,62,72,86.11
18,13,1813,421,31.30878859857482,26,198,223,88.79
18,14,1814,35,35.17142857142857,39,15,20,75.0
18,15,1815,174,29.264367816091955,23,86,88,97.73
18,16,1816,88,32.89772727272727,32,51,37,137.84
18,17,1817,72,28.180555555555557,26,35,37,94.59
18,19,1819,32,27.96875,23,14,18,77.78
19,1,1901,1024,26.5888671875,22,456,568,80.28
19,2,1902,10,29.2,28,2,8,25.0
19,3,1903,259,34.003861003861005,28,121,138,87.68
19,4,1904,409,31.107579462102688,28,196,213,92.02
19,5,1905,41,28.097560975609756,25,18,23,78.26
19,6,1906,91,31.494505494505493,26,40,51,78.43
19,7,1907,2,29.5,29,2,0,inf
19,8,1908,58,27.396551724137932,26,27,31,87.1
19,9,1909,172,33.02906976744186,28,86,86,100.0
19,10,1910,776,28.670103092783506,26,363,413,87.89
19,11,1911,16,32.8125,32,7,9,77.78
19,12,1912,16,29.5,37,9,7,128.57
19,13,1913,23,26.391304347826086,25,7,16,43.75
19,14,1914,174,33.49425287356322,29,84,90,93.33
19,15,1915,13,29.384615384615383,29,6,7,85.71
19,16,1916,28,26.285714285714285,22,12,16,75.0
19,17,1917,25,30.8,31,13,12,108.33
19,18,1918,38,31.842105263157894,26,24,14,171.43
