cod_ori,latlon_ori,cod_des,latlon_des,cod,distancia
10,"-34.85347673674695,-54.98336526692671",1,"-34.86347311448007,-56.17403019571399",1001,124244
10,"-34.85347673674695,-54.98336526692671",2,"-30.407062416732217,-56.81554727891256",1002,658957
10,"-34.85347673674695,-54.98336526692671",3,"-34.70480623405611,-56.04615274218908",1003,113400
10,"-34.85347673674695,-54.98336526692671",4,"-32.412530637702794,-54.04713015664623",1004,322429
10,"-34.85347673674695,-54.98336526692671",5,"-34.23198949912197,-57.74210900659811",1005,296919
10,"-34.85347673674695,-54.98336526692671",6,"-33.29103587835989,-56.27098299307005",1006,260814
10,"-34.85347673674695,-54.98336526692671",7,"-33.53920654666071,-56.90577692183583",1007,272152
10,"-34.85347673674695,-54.98336526692671",8,"-34.032026238093366,-56.13160980422134",1008,166582
10,"-34.85347673674695,-54.98336526692671",9,"-34.21457704605623,-55.15399089880148",1009,85327
10,"-34.85347673674695,-54.98336526692671",11,"-32.283872150647106,-57.959994965057604",1011,457785
10,"-34.85347673674695,-54.98336526692671",12,"-32.92202758658411,-57.975510334124905",1012,423946
10,"-34.85347673674695,-54.98336526692671",13,"-31.02322481060381,-55.50845498927073",1013,533797
10,"-34.85347673674695,-54.98336526692671",14,"-34.151878164969204,-54.031687712278405",1014,141478
10,"-34.85347673674695,-54.98336526692671",15,"-31.35982522025497,-57.8823388590987",1015,574370
10,"-34.85347673674695,-54.98336526692671",16,"-34.51474804942168,-56.61756156142106",1016,191187
10,"-34.85347673674695,-54.98336526692671",17,"-33.41667869361325,-57.98829706231997",1017,365864
10,"-34.85347673674695,-54.98336526692671",18,"-31.967640007891212,-55.9947894362848",1018,419858
10,"-34.85347673674695,-54.98336526692671",19,"-33.168234436521246,-54.359141645492166",1019,216981
11,"-32.283872150647106,-57.959994965057604",1,"-34.86347311448007,-56.17403019571399",1101,368039
11,"-32.283872150647106,-57.959994965057604",2,"-30.407062416732217,-56.81554727891256",1102,304617
11,"-32.283872150647106,-57.959994965057604",3,"-34.70480623405611,-56.04615274218908",1103,360009
11,"-32.283872150647106,-57.959994965057604",4,"-32.412530637702794,-54.04713015664623",1104,444743
11,"-32.283872150647106,-57.959994965057604",5,"-34.23198949912197,-57.74210900659811",1105,251003
11,"-32.283872150647106,-57.959994965057604",6,"-33.29103587835989,-56.27098299307005",1106,256355
11,"-32.283872150647106,-57.959994965057604",7,"-33.53920654666071,-56.90577692183583",1107,187006
11,"-32.283872150647106,-57.959994965057604",8,"-34.032026238093366,-56.13160980422134",1108,311287
11,"-32.283872150647106,-57.959994965057604",9,"-34.21457704605623,-55.15399089880148",1109,422149
11,"-32.283872150647106,-57.959994965057604",10,"-34.85347673674695,-54.98336526692671",1110,457840
11,"-32.283872150647106,-57.959994965057604",12,"-32.92202758658411,-57.975510334124905",1112,78652
11,"-32.283872150647106,-57.959994965057604",13,"-31.02322481060381,-55.50845498927073",1113,340541
11,"-32.283872150647106,-57.959994965057604",14,"-34.151878164969204,-54.031687712278405",1114,536205
11,"-32.283872150647106,-57.959994965057604",15,"-31.35982522025497,-57.8823388590987",1115,121845
11,"-32.283872150647106,-57.959994965057604",16,"-34.51474804942168,-56.61756156142106",1116,306523
11,"-32.283872150647106,-57.959994965057604",17,"-33.41667869361325,-57.98829706231997",1117,145587
11,"-32.283872150647106,-57.959994965057604",18,"-31.967640007891212,-55.9947894362848",1118,240569
11,"-32.283872150647106,-57.959994965057604",19,"-33.168234436521246,-54.359141645492166",1119,454655
12,"-32.92202758658411,-57.975510334124905",1,"-34.86347311448007,-56.17403019571399",1201,314803
12,"-32.92202758658411,-57.975510334124905",2,"-30.407062416732217,-56.81554727891256",1202,380391
12,"-32.92202758658411,-57.975510334124905",3,"-34.70480623405611,-56.04615274218908",1203,313213
12,"-32.92202758658411,-57.975510334124905",4,"-32.412530637702794,-54.04713015664623",1204,486397
12,"-32.92202758658411,-57.975510334124905",5,"-34.23198949912197,-57.74210900659811",1205,173120
12,"-32.92202758658411,-57.975510334124905",6,"-33.29103587835989,-56.27098299307005",1206,235480
12,"-32.92202758658411,-57.975510334124905",7,"-33.53920654666071,-56.90577692183583",1207,166130
12,"-32.92202758658411,-57.975510334124905",8,"-34.032026238093366,-56.13160980422134",1208,290411
12,"-32.92202758658411,-57.975510334124905",9,"-34.21457704605623,-55.15399089880148",1209,401274
12,"-32.92202758658411,-57.975510334124905",10,"-34.85347673674695,-54.98336526692671",1210,424153
12,"-32.92202758658411,-57.975510334124905",11,"-32.283872150647106,-57.959994965057604",1211,78652
12,"-32.92202758658411,-57.975510334124905",13,"-31.02322481060381,-55.50845498927073",1213,382195
12,"-32.92202758658411,-57.975510334124905",14,"-34.151878164969204,-54.031687712278405",1214,515329
12,"-32.92202758658411,-57.975510334124905",15,"-31.35982522025497,-57.8823388590987",1215,197619
12,"-32.92202758658411,-57.975510334124905",16,"-34.51474804942168,-56.61756156142106",1216,256067
12,"-32.92202758658411,-57.975510334124905",17,"-33.41667869361325,-57.98829706231997",1217,67704
12,"-32.92202758658411,-57.975510334124905",18,"-31.967640007891212,-55.9947894362848",1218,282223
12,"-32.92202758658411,-57.975510334124905",19,"-33.168234436521246,-54.359141645492166",1219,443288
13,"-31.02322481060381,-55.50845498927073",1,"-34.86347311448007,-56.17403019571399",1301,496028
13,"-31.02322481060381,-55.50845498927073",2,"-30.407062416732217,-56.81554727891256",1302,165823
13,"-31.02322481060381,-55.50845498927073",3,"-34.70480623405611,-56.04615274218908",1303,487219
13,"-31.02322481060381,-55.50845498927073",4,"-32.412530637702794,-54.04713015664623",1304,240871
13,"-31.02322481060381,-55.50845498927073",5,"-34.23198949912197,-57.74210900659811",1305,484612
13,"-31.02322481060381,-55.50845498927073",6,"-33.29103587835989,-56.27098299307005",1306,336484
13,"-31.02322481060381,-55.50845498927073",7,"-33.53920654666071,-56.90577692183583",1307,359348
13,"-31.02322481060381,-55.50845498927073",8,"-34.032026238093366,-56.13160980422134",1308,419126
13,"-31.02322481060381,-55.50845498927073",9,"-34.21457704605623,-55.15399089880148",1309,464972
13,"-31.02322481060381,-55.50845498927073",10,"-34.85347673674695,-54.98336526692671",1310,533774
13,"-31.02322481060381,-55.50845498927073",11,"-32.283872150647106,-57.959994965057604",1311,340541
13,"-31.02322481060381,-55.50845498927073",12,"-32.92202758658411,-57.975510334124905",1312,382195
13,"-31.02322481060381,-55.50845498927073",14,"-34.151878164969204,-54.031687712278405",1314,466304
13,"-31.02322481060381,-55.50845498927073",15,"-31.35982522025497,-57.8823388590987",1315,286873
13,"-31.02322481060381,-55.50845498927073",16,"-34.51474804942168,-56.61756156142106",1316,459885
13,"-31.02322481060381,-55.50845498927073",17,"-33.41667869361325,-57.98829706231997",1317,446792
13,"-31.02322481060381,-55.50845498927073",18,"-31.967640007891212,-55.9947894362848",1318,145310
13,"-31.02322481060381,-55.50845498927073",19,"-33.168234436521246,-54.359141645492166",1319,324423
14,"-34.151878164969204,-54.031687712278405",1,"-34.86347311448007,-56.17403019571399",1401,252072
14,"-34.151878164969204,-54.031687712278405",2,"-30.407062416732217,-56.81554727891256",1402,623208
14,"-34.151878164969204,-54.031687712278405",3,"-34.70480623405611,-56.04615274218908",1403,232418
14,"-34.151878164969204,-54.031687712278405",4,"-32.412530637702794,-54.04713015664623",1404,254955
14,"-34.151878164969204,-54.031687712278405",5,"-34.23198949912197,-57.74210900659811",1405,398581
14,"-34.151878164969204,-54.031687712278405",6,"-33.29103587835989,-56.27098299307005",1406,299700
14,"-34.151878164969204,-54.031687712278405",7,"-33.53920654666071,-56.90577692183583",1407,350524
14,"-34.151878164969204,-54.031687712278405",8,"-34.032026238093366,-56.13160980422134",1408,253255
14,"-34.151878164969204,-54.031687712278405",9,"-34.21457704605623,-55.15399089880148",1409,153094
14,"-34.151878164969204,-54.031687712278405",10,"-34.85347673674695,-54.98336526692671",1410,141481
14,"-34.151878164969204,-54.031687712278405",11,"-32.283872150647106,-57.959994965057604",1411,536157
14,"-34.151878164969204,-54.031687712278405",12,"-32.92202758658411,-57.975510334124905",1412,515282
14,"-34.151878164969204,-54.031687712278405",13,"-31.02322481060381,-55.50845498927073",1413,466323
14,"-34.151878164969204,-54.031687712278405",15,"-31.35982522025497,-57.8823388590987",1415,624205
14,"-34.151878164969204,-54.031687712278405",16,"-34.51474804942168,-56.61756156142106",1416,292086
14,"-34.151878164969204,-54.031687712278405",17,"-33.41667869361325,-57.98829706231997",1417,464469
14,"-34.151878164969204,-54.031687712278405",18,"-31.967640007891212,-55.9947894362848",1418,410429
14,"-34.151878164969204,-54.031687712278405",19,"-33.168234436521246,-54.359141645492166",1419,149507
15,"-31.35982522025497,-57.8823388590987",1,"-34.86347311448007,-56.17403019571399",1501,487002
15,"-31.35982522025497,-57.8823388590987",2,"-30.407062416732217,-56.81554727891256",1502,184479
15,"-31.35982522025497,-57.8823388590987",3,"-34.70480623405611,-56.04615274218908",1503,478972
15,"-31.35982522025497,-57.8823388590987",4,"-32.412530637702794,-54.04713015664623",1504,427098
15,"-31.35982522025497,-57.8823388590987",5,"-34.23198949912197,-57.74210900659811",1505,369966
15,"-31.35982522025497,-57.8823388590987",6,"-33.29103587835989,-56.27098299307005",1506,347978
15,"-31.35982522025497,-57.8823388590987",7,"-33.53920654666071,-56.90577692183583",1507,305969
15,"-31.35982522025497,-57.8823388590987",8,"-34.032026238093366,-56.13160980422134",1508,427875
15,"-31.35982522025497,-57.8823388590987",9,"-34.21457704605623,-55.15399089880148",1509,543148
15,"-31.35982522025497,-57.8823388590987",10,"-34.85347673674695,-54.98336526692671",1510,574428
15,"-31.35982522025497,-57.8823388590987",11,"-32.283872150647106,-57.959994965057604",1511,121842
15,"-31.35982522025497,-57.8823388590987",12,"-32.92202758658411,-57.975510334124905",1512,197616
15,"-31.35982522025497,-57.8823388590987",13,"-31.02322481060381,-55.50845498927073",1513,286873
15,"-31.35982522025497,-57.8823388590987",14,"-34.151878164969204,-54.031687712278405",1514,624205
15,"-31.35982522025497,-57.8823388590987",16,"-34.51474804942168,-56.61756156142106",1516,425487
15,"-31.35982522025497,-57.8823388590987",17,"-33.41667869361325,-57.98829706231997",1517,264551
15,"-31.35982522025497,-57.8823388590987",18,"-31.967640007891212,-55.9947894362848",1518,235321
15,"-31.35982522025497,-57.8823388590987",19,"-33.168234436521246,-54.359141645492166",1519,486999
16,"-34.51474804942168,-56.61756156142106",1,"-34.86347311448007,-56.17403019571399",1601,67066
16,"-34.51474804942168,-56.61756156142106",2,"-30.407062416732217,-56.81554727891256",1602,570207
16,"-34.51474804942168,-56.61756156142106",3,"-34.70480623405611,-56.04615274218908",1603,82580
16,"-34.51474804942168,-56.61756156142106",4,"-32.412530637702794,-54.04713015664623",1604,417390
16,"-34.51474804942168,-56.61756156142106",5,"-34.23198949912197,-57.74210900659811",1605,123292
16,"-34.51474804942168,-56.61756156142106",6,"-33.29103587835989,-56.27098299307005",1606,174995
16,"-34.51474804942168,-56.61756156142106",7,"-33.53920654666071,-56.90577692183583",1607,120843
16,"-34.51474804942168,-56.61756156142106",8,"-34.032026238093366,-56.13160980422134",1608,96337
16,"-34.51474804942168,-56.61756156142106",9,"-34.21457704605623,-55.15399089880148",1609,174449
16,"-34.51474804942168,-56.61756156142106",10,"-34.85347673674695,-54.98336526692671",1610,191221
16,"-34.51474804942168,-56.61756156142106",11,"-32.283872150647106,-57.959994965057604",1611,306476
16,"-34.51474804942168,-56.61756156142106",12,"-32.92202758658411,-57.975510334124905",1612,255902
16,"-34.51474804942168,-56.61756156142106",13,"-31.02322481060381,-55.50845498927073",1613,459885
16,"-34.51474804942168,-56.61756156142106",14,"-34.151878164969204,-54.031687712278405",1614,292089
16,"-34.51474804942168,-56.61756156142106",15,"-31.35982522025497,-57.8823388590987",1615,425443
16,"-34.51474804942168,-56.61756156142106",17,"-33.41667869361325,-57.98829706231997",1617,197820
16,"-34.51474804942168,-56.61756156142106",18,"-31.967640007891212,-55.9947894362848",1618,323511
16,"-34.51474804942168,-56.61756156142106",19,"-33.168234436521246,-54.359141645492166",1619,317293
17,"-33.41667869361325,-57.98829706231997",1,"-34.86347311448007,-56.17403019571399",1701,256721
17,"-33.41667869361325,-57.98829706231997",2,"-30.407062416732217,-56.81554727891256",1702,447326
17,"-33.41667869361325,-57.98829706231997",3,"-34.70480623405611,-56.04615274218908",1703,255131
17,"-33.41667869361325,-57.98829706231997",4,"-32.412530637702794,-54.04713015664623",1704,468718
