loc_origen,loc_destino,personas_mig,pobl_origen,pobl_destino,cod,distancia_m,geom_ori,geom_des
12723,5421,3,598,10630,127235421,210390,POINT (495810.75722 6369005.445846321),POINT (478168.5305876654 6204951.642408893)
17722,5421,1,998,10630,177225421,67521,POINT (454845.5030600709 6260942.027846825),POINT (478168.5305876654 6204951.642408893)
14921,5421,1,417,10630,149215421,378297,POINT (796113.1336645556 6202393.373426438),POINT (478168.5305876654 6204951.642408893)
6821,5421,2,161,10630,68215421,223614,POINT (517855.5342645199 6362299.42323779),POINT (478168.5305876654 6204951.642408893)
3826,5421,1,965,10630,38265421,172286,POINT (622696.1896262862 6152301.644846186),POINT (478168.5305876654 6204951.642408893)
3521,5421,1,31650,10630,35215421,138968,POINT (591966.3938865843 6153953.745800025),POINT (478168.5305876654 6204951.642408893)
3733,5421,1,4307,10630,37335421,139585,POINT (591970.5366392424 6149665.033790103),POINT (478168.5305876654 6204951.642408893)
3627,5421,1,7896,10630,36275421,165905,POINT (617414.9151842656 6153379.514554303),POINT (478168.5305876654 6204951.642408893)
17623,5421,1,1124,10630,176235421,165401,POINT (377145.9912527402 6303816.161229277),POINT (478168.5305876654 6204951.642408893)
16923,5421,2,343,10630,169235421,45708,POINT (517907.3292085906 6202159.563670441),POINT (478168.5305876654 6204951.642408893)
11826,5421,1,218,10630,118265421,280116,POINT (528135.655 6417564.948392434),POINT (478168.5305876654 6204951.642408893)
1020,5422,178,1304729,10085,10205422,126061,POINT (573082.2484702046 6145008.43370907),POINT (467732.0998145878 6202465.575935196)
3221,5422,7,71258,10085,32215422,129337,POINT (571815.1381244587 6157813.988089516),POINT (467732.0998145878 6202465.575935196)
3320,5422,3,19865,10085,33205422,112069,POINT (565955.6405053993 6179409.202056422),POINT (467732.0998145878 6202465.575935196)
3321,5422,4,20524,10085,33215422,126954,POINT (570666.0469444469 6153926.677853951),POINT (467732.0998145878 6202465.575935196)
3322,5422,9,25947,10085,33225422,152329,POINT (594619.1628683957 6157118.214678776),POINT (467732.0998145878 6202465.575935196)
3830,5422,3,4724,10085,38305422,162136,POINT (604677.5426081594 6151288.533430437),POINT (467732.0998145878 6202465.575935196)
4220,5422,1,51830,10085,42205422,444353,POINT (766475.5195453273 6415360.379009241),POINT (467732.0998145878 6202465.575935196)
6220,5422,3,34368,10085,62205422,153358,POINT (544395.6968756896 6306205.764611009),POINT (467732.0998145878 6202465.575935196)
8220,5422,2,33639,10085,82205422,134919,POINT (571771.8401191942 6226149.775983537),POINT (467732.0998145878 6202465.575935196)
9220,5422,3,38446,10085,92205422,215897,POINT (661451.1977671548 6194686.506299259),POINT (467732.0998145878 6202465.575935196)
10320,5422,10,62590,10085,103205422,254043,POINT (687553.5499826567 6136432.37380928),POINT (467732.0998145878 6202465.575935196)
10524,5422,1,9277,10085,105245422,257721,POINT (688889.8077629332 6131313.453030547),POINT (467732.0998145878 6202465.575935196)
11120,5422,2,76412,10085,111205422,266802,POINT (398432.2411582735 6423719.024001375),POINT (467732.0998145878 6202465.575935196)
12320,5422,8,24406,10085,123205422,180129,POINT (378827.4881471876 6333913.219373153),POINT (467732.0998145878 6202465.575935196)
13220,5422,6,64465,10085,132205422,467828,POINT (636661.5683717782 6578777.675353965),POINT (467732.0998145878 6202465.575935196)
13522,5422,3,7235,10085,135225422,439498,POINT (617966.4689693986 6548396.300525547),POINT (467732.0998145878 6202465.575935196)
14521,5422,1,9675,10085,145215422,432890,POINT (828315.7510059284 6265725.536893765),POINT (467732.0998145878 6202465.575935196)
15120,5422,7,104011,10085,151205422,380893,POINT (410765.2865832467 6526683.944983927),POINT (467732.0998145878 6202465.575935196)
16220,5422,25,36743,10085,162205422,64770,POINT (526358.5499632334 6200292.109874669),POINT (467732.0998145878 6202465.575935196)
16824,5422,7,6870,10085,168245422,98282,POINT (549963.6031783884 6155823.292895289),POINT (467732.0998145878 6202465.575935196)
16945,5422,2,162,10085,169455422,54362,POINT (515101.6043391861 6182116.432369946),POINT (467732.0998145878 6202465.575935196)
17220,5422,8,41974,10085,172205422,148235,POINT (404000.1472399235 6319963.324545297),POINT (467732.0998145878 6202465.575935196)
18220,5422,2,54755,10085,182205422,357823,POINT (596426.0428719386 6490529.903923135),POINT (467732.0998145878 6202465.575935196)
19220,5422,4,25477,10085,192205422,360960,POINT (743905.4063065499 6319913.058989554),POINT (467732.0998145878 6202465.575935196)
11621,5422,1,2853,10085,116215422,317172,POINT (414734.1139299477 6466316.903838689),POINT (467732.0998145878 6202465.575935196)
17621,5422,5,2120,10085,176215422,77756,POINT (450827.2684606689 6271084.922280216),POINT (467732.0998145878 6202465.575935196)
2220,5422,1,40657,10085,22205422,562069,POINT (549273.2185291488 6633915.062681103),POINT (467732.0998145878 6202465.575935196)
2521,5422,5,12200,10085,25215422,519738,POINT (442454.6709403042 6652273.541484571),POINT (467732.0998145878 6202465.575935196)
6421,5422,1,7176,10085,64215422,248760,POINT (627784.2920031943 6310678.606575608),POINT (467732.0998145878 6202465.575935196)
8622,5422,1,2398,10085,86225422,174040,POINT (616338.3934514923 6215178.131054383),POINT (467732.0998145878 6202465.575935196)
12622,5422,1,1781,10085,126225422,234608,POINT (393905.5231585477 6385209.225305676),POINT (467732.0998145878 6202465.575935196)
16421,5422,3,10166,10085,164215422,79071,POINT (534837.1989801188 6167194.584904742),POINT (467732.0998145878 6202465.575935196)
16821,5422,1,1491,10085,168215422,69698,POINT (527369.9959136341 6172877.853565051),POINT (467732.0998145878 6202465.575935196)
17321,5422,1,17174,10085,173215422,133123,POINT (387010.9538811051 6289104.708993559),POINT (467732.0998145878 6202465.575935196)
17521,5422,5,4600,10085,175215422,52465,POINT (465887.5965250221 6252457.935595442),POINT (467732.0998145878 6202465.575935196)
16929,5422,13,2585,10085,169295422,29561,POINT (495184.3736793735 6198282.928264959),POINT (467732.0998145878 6202465.575935196)
12621,5422,1,2450,10085,126215422,185325,POINT (402319.4994027495 6350379.246771265),POINT (467732.0998145878 6202465.575935196)
17622,5422,4,2123,10085,176225422,111262,POINT (425578.0808607622 6292108.87729579),POINT (467732.0998145878 6202465.575935196)
7921,5422,3,261,10085,79215422,158856,POINT (487827.8241195392 6330283.136094937),POINT (467732.0998145878 6202465.575935196)
10521,5422,1,2465,10085,105215422,269723,POINT (706061.9580562271 6212775.656382873),POINT (467732.0998145878 6202465.575935196)
4721,5422,1,2331,10085,47215422,489870,POINT (771701.7691043743 6460211.027444684),POINT (467732.0998145878 6202465.575935196)
15827,5422,1,356,10085,158275422,373216,POINT (413488.066271033 6520198.916882024),POINT (467732.0998145878 6202465.575935196)
3835,5422,1,3195,10085,38355422,146959,POINT (591620.7168567854 6143542.296321873),POINT (467732.0998145878 6202465.575935196)
3527,5422,1,6132,10085,35275422,137857,POINT (585749.3500300343 6165158.817215529),POINT (467732.0998145878 6202465.575935196)
3627,5422,1,7896,10085,36275422,175028,POINT (617414.9151842656 6153379.514554303),POINT (467732.0998145878 6202465.575935196)
2925,5422,1,355,10085,29255422,503730,POINT (440872.707006035 6638189.514998719),POINT (467732.0998145878 6202465.575935196)
1020,5423,167,1304729,9857,10205423,248376,POINT (573082.2484702046 6145008.43370907),POINT (370211.3425855851 6249962.711012445)
3221,5423,3,71258,9857,32215423,251652,POINT (571815.1381244587 6157813.988089516),POINT (370211.3425855851 6249962.711012445)
3320,5423,1,19865,9857,33205423,234384,POINT (565955.6405053993 6179409.202056422),POINT (370211.3425855851 6249962.711012445)
3321,5423,1,20524,9857,33215423,249269,POINT (570666.0469444469 6153926.677853951),POINT (370211.3425855851 6249962.711012445)
3322,5423,4,25947,9857,33225423,274644,POINT (594619.1628683957 6157118.214678776),POINT (370211.3425855851 6249962.711012445)
3421,5423,1,16244,9857,34215423,252801,POINT (571422.0096265917 6162788.050535546),POINT (370211.3425855851 6249962.711012445)
3631,5423,8,4397,9857,36315423,262777,POINT (583281.2078731833 6155365.628785741),POINT (370211.3425855851 6249962.711012445)
3828,5423,1,21091,9857,38285423,279239,POINT (600169.0660007594 6149058.795812866),POINT (370211.3425855851 6249962.711012445)
