cod,cod_ori,cod_des,poblacion_ori,poblacion_des,personas_mig,distancia_m,geom_ori,geom_des
162205323,16220,5323,36743,12816,19,79484,POINT (526358.5499632334 6200292.109874669),POINT (459139.5927728665 6190793.685035946)
162205421,16220,5421,36743,10630,24,55440,POINT (526358.5499632334 6200292.109874669),POINT (478168.5305876654 6204951.642408893)
162205422,16220,5422,36743,10085,25,64770,POINT (526358.5499632334 6200292.109874669),POINT (467732.0998145878 6202465.575935196)
162205423,16220,5423,36743,9857,1,187085,POINT (526358.5499632334 6200292.109874669),POINT (370211.3425855851 6249962.711012445)
162205521,16220,5521,36743,3390,4,135547,POINT (526358.5499632334 6200292.109874669),POINT (425254.2145107206 6244548.931422319)
162205522,16220,5522,36743,6632,8,95616,POINT (526358.5499632334 6200292.109874669),POINT (443315.8507838796 6208057.34327494)
162205621,16220,5621,36743,3235,6,55821,POINT (526358.5499632334 6200292.109874669),POINT (475431.2703850165 6199675.686454285)
162205622,16220,5622,36743,3716,12,91536,POINT (526358.5499632334 6200292.109874669),POINT (465928.7526475141 6250932.347301375)
162205727,16220,5727,36743,85,1,99902,POINT (526358.5499632334 6200292.109874669),POINT (432927.2699000595 6189652.331060673)
162205824,16220,5824,36743,353,2,45878,POINT (526358.5499632334 6200292.109874669),POINT (490129.2784315756 6215871.484857393)
162205932,16220,5932,36743,27,6,53865,POINT (526358.5499632334 6200292.109874669),POINT (484165.0841060263 6188692.323613915)
162205951,16220,5951,36743,193,2,60356,POINT (526358.5499632334 6200292.109874669),POINT (477740.0462644616 6189736.73758918)
162205980,16220,5980,36743,52,9,56858,POINT (526358.5499632334 6200292.109874669),POINT (481990.285340151 6189243.541996617)
162206220,16220,6220,36743,34368,13,119799,POINT (526358.5499632334 6200292.109874669),POINT (544395.6968756896 6306205.764611009)
162206421,16220,6421,36743,7176,8,192691,POINT (526358.5499632334 6200292.109874669),POINT (627784.2920031943 6310678.606575608)
162206521,16220,6521,36743,2692,1,168990,POINT (526358.5499632334 6200292.109874669),POINT (592839.3093727244 6321959.922709245)
162206724,16220,6724,36743,1094,1,123477,POINT (526358.5499632334 6200292.109874669),POINT (544715.5806652261 6309411.302971778)
162207320,16220,7320,36743,21429,13,96732,POINT (526358.5499632334 6200292.109874669),POINT (509325.207006696 6290894.511013233)
162207721,16220,7721,36743,918,1,60326,POINT (526358.5499632334 6200292.109874669),POINT (491662.4149445419 6242035.962422337)
162207938,16220,7938,36743,96,2,71768,POINT (526358.5499632334 6200292.109874669),POINT (518635.3741802431 6268202.273444146)
162208220,16220,8220,36743,33639,21,72004,POINT (526358.5499632334 6200292.109874669),POINT (571771.8401191942 6226149.775983537)
162208421,16220,8421,36743,6130,1,95201,POINT (526358.5499632334 6200292.109874669),POINT (562219.4444580078 6268197.953743277)
162208621,16220,8621,36743,1202,7,41116,POINT (526358.5499632334 6200292.109874669),POINT (555730.2233884777 6205265.538469914)
162208623,16220,8623,36743,1849,4,34311,POINT (526358.5499632334 6200292.109874669),POINT (554472.7710832069 6191933.104241417)
162208822,16220,8822,36743,246,1,119869,POINT (526358.5499632334 6200292.109874669),POINT (554524.1045183674 6290869.074627476)
162208823,16220,8823,36743,730,2,60909,POINT (526358.5499632334 6200292.109874669),POINT (572315.9743932312 6206378.627922345)
162208825,16220,8825,36743,342,1,129961,POINT (526358.5499632334 6200292.109874669),POINT (624888.1544460417 6237484.621926709)
162208933,16220,8933,36743,396,2,40000,POINT (526358.5499632334 6200292.109874669),POINT (555335.8934125454 6198413.757304374)
162208944,16220,8944,36743,160,2,108209,POINT (526358.5499632334 6200292.109874669),POINT (559079.8762472196 6279552.102271494)
162209220,16220,9220,36743,38446,12,151189,POINT (526358.5499632334 6200292.109874669),POINT (661451.1977671548 6194686.506299259)
162209621,16220,9621,36743,1626,1,214795,POINT (526358.5499632334 6200292.109874669),POINT (705646.247314009 6230826.069853771)
162209622,16220,9622,36743,2825,4,134220,POINT (526358.5499632334 6200292.109874669),POINT (641322.7795995863 6170500.73085683)
164211020,16421,1020,10166,1304729,170,46996,POINT (534837.1989801188 6167194.584904742),POINT (573082.2484702046 6145008.43370907)
164213221,16421,3221,10166,71258,9,50272,POINT (534837.1989801188 6167194.584904742),POINT (571815.1381244587 6157813.988089516)
164213321,16421,3321,10166,20524,6,47889,POINT (534837.1989801188 6167194.584904742),POINT (570666.0469444469 6153926.677853951)
164213323,16421,3323,10166,16742,3,44276,POINT (534837.1989801188 6167194.584904742),POINT (556468.9904573727 6186643.790688833)
164213521,16421,3521,10166,31650,2,69026,POINT (534837.1989801188 6167194.584904742),POINT (591966.3938865843 6153953.745800025)
164213525,16421,3525,10166,15908,3,63242,POINT (534837.1989801188 6167194.584904742),POINT (587580.4026155119 6142292.506456386)
