CCOMP96,CCOMP04,REG96A04,MODIF96A04
108002009,108002009,0,SIN MODIFICACION
108002010,108002010,0,SIN MODIFICACION
108002011,108002011,0,SIN MODIFICACION
108002012,108002012,0,SIN MODIFICACION
108002013,108002013,0,SIN MODIFICACION
108002001,108002400,1,PARTICION
108002006,108002401,1,PARTICION
108002001,108002800,1,PARTICION
108002006,108002801,1,PARTICION
108003001,108003001,0,SIN MODIFICACION
108003002,108003002,0,SIN MODIFICACION
108003003,108003003,0,SIN MODIFICACION
108003004,108003004,0,SIN MODIFICACION
108003005,108003005,0,SIN MODIFICACION
108003006,108003006,0,SIN MODIFICACION
108003007,108003007,0,SIN MODIFICACION
108003008,108003008,0,SIN MODIFICACION
108003009,108003009,0,SIN MODIFICACION
108003010,108003010,0,SIN MODIFICACION
108003011,108003011,0,SIN MODIFICACION
108003012,108003012,0,SIN MODIFICACION
108003013,108003013,0,SIN MODIFICACION
108003014,108003014,0,SIN MODIFICACION
108004001,108004001,0,SIN MODIFICACION
108004002,108004002,0,SIN MODIFICACION
108004003,108004003,0,SIN MODIFICACION
108004004,108004004,0,SIN MODIFICACION
108004005,108004005,0,SIN MODIFICACION
108004006,108004006,0,SIN MODIFICACION
108004007,108004007,0,SIN MODIFICACION
108004008,108004008,0,SIN MODIFICACION
108004009,108004009,0,SIN MODIFICACION
108004010,108004010,0,SIN MODIFICACION
108004011,108004011,0,SIN MODIFICACION
108004012,108004012,0,SIN MODIFICACION
108004013,108004013,0,SIN MODIFICACION
108004014,108004014,0,SIN MODIFICACION
108004015,108004015,0,SIN MODIFICACION
108004016,108004016,0,SIN MODIFICACION
108004400,108004400,0,SIN MODIFICACION
108006001,108006001,0,SIN MODIFICACION
108006002,108006002,0,SIN MODIFICACION
108006003,108006003,0,SIN MODIFICACION
108006004,108006004,0,SIN MODIFICACION
108006005,108006005,0,SIN MODIFICACION
108006007,108006007,0,SIN MODIFICACION
108006008,108006008,0,SIN MODIFICACION
108006010,108006010,0,SIN MODIFICACION
108006011,108006011,0,SIN MODIFICACION
108006012,108006012,0,SIN MODIFICACION
108006013,108006013,0,SIN MODIFICACION
108006400,108006400,0,SIN MODIFICACION
108006401,108006401,0,SIN MODIFICACION
108006402,108006402,0,SIN MODIFICACION
108006403,108006403,0,SIN MODIFICACION
108006404,108006404,0,SIN MODIFICACION
108007001,108007001,0,SIN MODIFICACION
108007002,108007002,0,SIN MODIFICACION
108007003,108007003,0,SIN MODIFICACION
108007004,108007004,0,SIN MODIFICACION
108007005,108007005,0,SIN MODIFICACION
108007006,108007006,0,SIN MODIFICACION
108007007,108007007,0,SIN MODIFICACION
108007008,108007008,0,SIN MODIFICACION
108007009,108007009,0,SIN MODIFICACION
108008002,108008002,0,SIN MODIFICACION
108008004,108008004,0,SIN MODIFICACION
108008005,108008005,0,SIN MODIFICACION
108008006,108008006,0,SIN MODIFICACION
108008007,108008007,0,SIN MODIFICACION
108008008,108008008,0,SIN MODIFICACION
108008009,108008009,0,SIN MODIFICACION
108008010,108008010,0,SIN MODIFICACION
108008003,108008800,1,PARTICION
108008003,108008801,1,PARTICION
108009001,108009001,0,SIN MODIFICACION
108009002,108009002,0,SIN MODIFICACION
108009003,108009003,0,SIN MODIFICACION
108009004,108009004,0,SIN MODIFICACION
108009005,108009005,0,SIN MODIFICACION
108009006,108009006,0,SIN MODIFICACION
108009007,108009007,0,SIN MODIFICACION
108009008,108009008,0,SIN MODIFICACION
108009009,108009009,0,SIN MODIFICACION
108010001,108010001,0,SIN MODIFICACION
108010002,108010002,0,SIN MODIFICACION
108010003,108010003,0,SIN MODIFICACION
108010004,108010004,0,SIN MODIFICACION
108010005,108010005,0,SIN MODIFICACION
108010006,108010006,0,SIN MODIFICACION
108010007,108010007,0,SIN MODIFICACION
108010008,108010008,0,SIN MODIFICACION
108010009,108010009,0,SIN MODIFICACION
108010010,108010010,0,SIN MODIFICACION
108010011,108010011,0,SIN MODIFICACION
108010012,108010012,0,SIN MODIFICACION
108012002,108012002,0,SIN MODIFICACION
108012003,108012003,0,SIN MODIFICACION
108012004,108012004,0,SIN MODIFICACION
108012005,108012005,0,SIN MODIFICACION
108012006,108012006,0,SIN MODIFICACION
108012007,108012007,0,SIN MODIFICACION
108012008,108012008,0,SIN MODIFICACION
108012009,108012009,0,SIN MODIFICACION
108012010,108012010,0,SIN MODIFICACION
108012011,108012011,0,SIN MODIFICACION
108012012,108012012,0,SIN MODIFICACION
108012400,108012400,0,SIN MODIFICACION
108012402,108012402,0,SIN MODIFICACION
108012403,108012403,0,SIN MODIFICACION
108013001,108013001,0,SIN MODIFICACION
108013002,108013002,0,SIN MODIFICACION
108013003,108013003,0,SIN MODIFICACION
108013004,108013004,0,SIN MODIFICACION
108013005,108013005,0,SIN MODIFICACION
108013006,108013006,0,SIN MODIFICACION
108013007,108013007,0,SIN MODIFICACION
108013008,108013008,0,SIN MODIFICACION
108013009,108013009,0,SIN MODIFICACION
108013010,108013010,0,SIN MODIFICACION
108013011,108013011,0,SIN MODIFICACION
108013012,108013012,0,SIN MODIFICACION
108013013,108013013,0,SIN MODIFICACION
108105001,108105001,0,SIN MODIFICACION
108105002,108105002,0,SIN MODIFICACION
108105003,108105003,0,SIN MODIFICACION
108105004,108105004,0,SIN MODIFICACION
108105005,108105005,0,SIN MODIFICACION
108105006,108105006,0,SIN MODIFICACION
108105007,108105007,0,SIN MODIFICACION
108105008,108105008,0,SIN MODIFICACION
108105009,108105009,0,SIN MODIFICACION
108105010,108105010,0,SIN MODIFICACION
108105012,108105012,0,SIN MODIFICACION
108105013,108105013,0,SIN MODIFICACION
108105400,108105400,0,SIN MODIFICACION
108111001,108111001,0,SIN MODIFICACION
108111002,108111002,0,SIN MODIFICACION
108111003,108111003,0,SIN MODIFICACION
108111004,108111004,0,SIN MODIFICACION
108111005,108111005,0,SIN MODIFICACION
108111006,108111006,0,SIN MODIFICACION
108111007,108111007,0,SIN MODIFICACION
108111008,108111008,0,SIN MODIFICACION
108111009,108111009,0,SIN MODIFICACION
108111012,108111012,0,SIN MODIFICACION
108111013,108111013,0,SIN MODIFICACION
108111018,108111018,0,SIN MODIFICACION
108114001,108114001,0,SIN MODIFICACION
108114002,108114002,0,SIN MODIFICACION
108114003,108114003,0,SIN MODIFICACION
108114004,108114004,0,SIN MODIFICACION
108114005,108114005,0,SIN MODIFICACION
108114006,108114006,0,SIN MODIFICACION
108114007,108114007,0,SIN MODIFICACION
108114011,108114011,0,SIN MODIFICACION
108114012,108114012,0,SIN MODIFICACION
108114013,108114013,0,SIN MODIFICACION
108114014,108114014,0,SIN MODIFICACION
108205011,108205011,0,SIN MODIFICACION
108205014,108205014,0,SIN MODIFICACION
108205015,108205015,0,SIN MODIFICACION
108205016,108205016,0,SIN MODIFICACION
108205017,108205017,0,SIN MODIFICACION
108205018,108205018,0,SIN MODIFICACION
108205019,108205019,0,SIN MODIFICACION
108205020,108205020,0,SIN MODIFICACION
108205021,108205021,0,SIN MODIFICACION
108211010,108211010,0,SIN MODIFICACION
108211011,108211011,0,SIN MODIFICACION
108211014,108211014,0,SIN MODIFICACION
108211015,108211015,0,SIN MODIFICACION
108211016,108211016,0,SIN MODIFICACION
108211017,108211017,0,SIN MODIFICACION
108211019,108211019,0,SIN MODIFICACION
108211020,108211020,0,SIN MODIFICACION
108214008,108214008,0,SIN MODIFICACION
108214009,108214009,0,SIN MODIFICACION
108214010,108214010,0,SIN MODIFICACION
108214015,108214015,0,SIN MODIFICACION
108314016,108314016,0,SIN MODIFICACION
108314017,108314017,0,SIN MODIFICACION
