cod,depto_origen,nom_depto_orig,depto_destino,nom_depto_des,personas_mig,pbi_origen,pob_origen,pbi_destino,pob_destino,dist,log_pbi_destino,log_dist
1406,14,ROCHA,6,DURAZNO,18,17547856,68088,13023942,57084,299700,16.38229991389759,12.610537253304754
1506,15,SALTO,6,DURAZNO,14,25542275,124861,13023942,57084,347978,16.38229991389759,12.75989453836744
1606,16,SAN JOSE,6,DURAZNO,59,26930981,108304,13023942,57084,174995,16.38229991389759,12.07251268106891
1706,17,SORIANO,6,DURAZNO,57,22993631,82594,13023942,57084,195676,16.38229991389759,12.184215509174864
1806,18,TACUAREMBO,6,DURAZNO,304,18093592,90051,13023942,57084,200110,16.38229991389759,12.206622494335608
1906,19,TREINTA Y TRES,6,DURAZNO,91,11720592,48134,13023942,57084,217352,16.38229991389759,12.289273438122935
107,1,MONTEVIDEO,7,FLORES,378,465848031,1318755,7284124,25050,182361,15.801207743298134,12.11374351797104
207,2,ARTIGAS,7,FLORES,21,14214980,73377,7284124,25050,450737,15.801207743298134,13.018639299828806
307,3,CANELONES,7,FLORES,82,86306492,520173,7284124,25050,174329,15.801207743298134,12.068699597473461
407,4,CERRO LARGO,7,FLORES,5,17048887,84698,7284124,25050,347479,15.801207743298134,12.758459510506242
507,5,COLONIA,7,FLORES,69,43788749,123203,7284124,25050,125265,15.801207743298134,11.738186772255439
607,6,DURAZNO,7,FLORES,149,13023942,57084,7284124,25050,74436,15.801207743298134,11.217694974761118
807,8,FLORIDA,7,FLORES,84,17767290,67047,7284124,25050,125607,15.801207743298134,11.740913263947315
907,9,LAVALLEJA,7,FLORES,17,15594153,58815,7284124,25050,236470,15.801207743298134,12.373576628973705
1007,10,MALDONADO,7,FLORES,58,51311595,164298,7284124,25050,272152,15.801207743298134,12.514116012723823
1107,11,PAYSANDU,7,FLORES,29,26828524,113107,7284124,25050,187006,15.801207743298134,12.13889598088349
1207,12,RIO NEGRO,7,FLORES,77,24297744,54765,7284124,25050,166130,15.801207743298134,12.020525893380524
1307,13,RIVERA,7,FLORES,22,20212707,103473,7284124,25050,359348,15.801207743298134,12.792046557276537
1407,14,ROCHA,7,FLORES,7,17547856,68088,7284124,25050,350524,15.801207743298134,12.7671844567217
1507,15,SALTO,7,FLORES,20,25542275,124861,7284124,25050,305969,15.801207743298134,12.631239068613056
1607,16,SAN JOSE,7,FLORES,122,26930981,108304,7284124,25050,120843,15.801207743298134,11.702247461408927
1707,17,SORIANO,7,FLORES,90,22993631,82594,7284124,25050,126326,15.801207743298134,11.74662114621823
1807,18,TACUAREMBO,7,FLORES,79,18093592,90051,7284124,25050,222974,15.801207743298134,12.314810451716637
1907,19,TREINTA Y TRES,7,FLORES,2,11720592,48134,7284124,25050,287718,15.801207743298134,12.569736112754574
108,1,MONTEVIDEO,8,FLORIDA,1026,465848031,1318755,17767290,67047,102030,16.692869684280286,11.533022166669351
208,2,ARTIGAS,8,FLORIDA,40,14214980,73377,17767290,67047,533821,16.692869684280286,13.187815855755735
308,3,CANELONES,8,FLORIDA,670,86306492,520173,17767290,67047,88131,16.692869684280286,11.386579622903268
408,4,CERRO LARGO,8,FLORIDA,73,17048887,84698,17767290,67047,335796,16.692869684280286,12.724259111702338
508,5,COLONIA,8,FLORIDA,53,43788749,123203,17767290,67047,194958,16.692869684280286,12.180539429731901
608,6,DURAZNO,8,FLORIDA,404,13023942,57084,17767290,67047,121653,16.692869684280286,11.708928008820047
