cod,depto_origen,depto_destino,personas_mig,personas_mig_100k,pob_origen,pob_destino,dist,pbi_origen,pbi_porcen_ori,pbi_destino,pbi_porcen_des,largo_limite,dummy_limit,empresas_origen,empresas_destino,log_pbi_destino,log_dist,nom_depto_orig,nom_depto_des
617,6,17,32,15,57084,82594,195629,13023942,1.4,22993631,2.5,,False,40,85,16.95072782250245,12.183975287351856,DURAZNO,SORIANO
618,6,18,212,58,57084,90051,200110,13023942,1.4,18093592,2.0,219925.0,True,40,61,16.71106840040235,12.206622494335608,DURAZNO,TACUAREMBO
619,6,19,77,33,57084,48134,217352,13023942,1.4,11720592,1.3,17594.0,True,40,38,16.276857852782847,12.289273438122935,DURAZNO,TREINTA Y TRES
701,7,1,735,708,25050,1318755,182359,7284124,0.8,465848031,50.3,,False,28,3124,19.959370025169367,12.113732550653646,FLORES,MONTEVIDEO
702,7,2,2,1,25050,73377,450690,7284124,0.8,14214980,1.5,,False,28,55,16.469806896101773,13.01853502072458,FLORES,ARTIGAS
703,7,3,162,122,25050,520173,174329,7284124,0.8,86306492,9.3,,False,28,563,18.273415379180292,12.068699597473461,FLORES,CANELONES
704,7,4,13,10,25050,84698,347479,7284124,0.8,17048887,1.8,,False,28,88,16.651595480970684,12.758459510506242,FLORES,CERRO LARGO
705,7,5,86,29,25050,123203,125265,7284124,0.8,43788749,4.7,2483.0,True,28,60,17.594887470203254,11.738186772255439,FLORES,COLONIA
706,7,6,90,11,25050,57084,74436,7284124,0.8,13023942,1.4,91775.0,True,28,40,16.38229991389759,11.217694974761118,FLORES,DURAZNO
708,7,8,76,15,25050,67047,125607,7284124,0.8,17767290,1.9,52794.0,True,28,101,16.692869684280286,11.740913263947315,FLORES,FLORIDA
709,7,9,5,5,25050,58815,236470,7284124,0.8,15594153,1.7,,False,28,54,16.562406594269497,12.373576628973705,FLORES,LAVALLEJA
710,7,10,79,67,25050,164298,272160,7284124,0.8,51311595,5.5,,False,28,188,17.753427307993373,12.51414540762969,FLORES,MALDONADO
711,7,11,30,30,25050,113107,186959,7284124,0.8,26828524,2.9,,False,28,144,17.104976207843436,12.138644620460736,FLORES,PAYSANDU
712,7,12,36,26,25050,54765,166083,7284124,0.8,24297744,2.6,2760.0,True,28,67,17.00589406449475,12.020242942380332,FLORES,RIO NEGRO
713,7,13,10,8,25050,103473,359348,7284124,0.8,20212707,2.2,,False,28,62,16.821822024002444,12.792046557276537,FLORES,RIVERA
714,7,14,13,3,25050,68088,350525,7284124,0.8,17547856,1.9,,False,28,54,16.680442335171204,12.767187309589332,FLORES,ROCHA
715,7,15,17,13,25050,124861,305926,7284124,0.8,25542275,2.8,,False,28,97,17.05584548056092,12.631098521623553,FLORES,SALTO
716,7,16,116,17,25050,108304,120843,7284124,0.8,26930981,2.9,69905.0,True,28,154,17.108787891900022,11.702247461408927,FLORES,SAN JOSE
717,7,17,85,26,25050,82594,126279,7284124,0.8,22993631,2.5,118331.0,True,28,85,16.95072782250245,11.746249023730215,FLORES,SORIANO
718,7,18,29,22,25050,90051,222974,7284124,0.8,18093592,2.0,,False,28,61,16.71106840040235,12.314810451716637,FLORES,TACUAREMBO
719,7,19,14,14,25050,48134,287718,7284124,0.8,11720592,1.3,,False,28,38,16.276857852782847,12.569736112754574,FLORES,TREINTA Y TRES
801,8,1,1420,346,67047,1318755,102028,17767290,1.9,465848031,50.3,,False,101,3124,19.959370025169367,11.533002564399407,FLORIDA,MONTEVIDEO
802,8,2,13,12,67047,73377,533821,17767290,1.9,14214980,1.5,,False,101,55,16.469806896101773,13.187815855755735,FLORIDA,ARTIGAS
803,8,3,892,136,67047,520173,88131,17767290,1.9,86306492,9.3,94070.0,True,101,563,18.273415379180292,11.386579622903268,FLORIDA,CANELONES
